,majaxis_pix,majaxis_H,sum_Qphi_H,sum_Uphi_H,f_H,majaxis_V,sum_Qphi_V,sum_Uphi_V,f_V,majaxis_I,sum_Qphi_I,sum_Uphi_I,f_I
0,4,49.08,10.875158794739637,-0.04168431271165725,2.942485769998921,,,,,,,,
1,5,61.349999999999994,20.850250472513558,-0.03304297293398543,2.1102863995808714,,,,,,,,
2,6,73.62,31.121939056961182,-0.01602242831872572,1.735110395954637,,,,,,,,
3,7,85.89,43.68616171223571,-0.006035022161361794,1.5565569813141635,,,,,,,,
4,8,98.16,56.9566146675379,-0.007082547390121333,1.4396923075334294,,,,,,,,
5,9,110.42999999999999,72.15141660395494,0.0049985576778896375,1.358254690104424,,,,,,,,
6,10,122.69999999999999,84.60075842705983,0.006158257437094733,1.3002247502880084,,,,,,,,
7,11,134.97,78.80326897917143,0.008002431506617554,1.268982889865027,,,,,,,,
8,12,147.24,95.27654245358752,0.013742888287085725,1.2385000227887348,,,,,,,,
9,13,159.51,110.56522611325367,0.016238042876468496,1.2119542889799884,,,,,,,,
10,14,171.78,120.85458666107114,0.01829862265998045,1.1915145629006094,,,,,,,,
11,15,184.04999999999998,141.28947127025546,0.025400748355002712,1.1748929237797117,,,,,,,,
12,16,196.32,141.7227617284291,0.032922862549632025,1.1571888523754483,,,,,,,,
13,17,208.59,162.19909454203167,0.0303891363935664,1.1467388306030317,,,,,,,,
14,18,220.85999999999999,169.23244137760923,0.033433759542307734,1.1345342443626951,,,,,,,,
15,19,233.13,179.5315469577874,0.03441793765662837,1.125150445272415,,,,,,,,
16,20,245.39999999999998,198.82142945139336,0.039069828619619176,1.116579840576356,,,,,,,,
17,21,257.67,207.36368223491883,0.04222581045425607,1.1091624026016131,,,,,,,,
18,22,269.94,218.9788098445711,0.04144207635098023,1.1051297619699783,,,,,,,,
19,23,282.21,232.9460074774233,0.03775246603020927,1.0989671073234042,,,,,,,,
20,24,294.48,235.98244689824307,0.04272980552195209,1.0933016560814417,,,,,,,,
21,25,306.75,257.3855502056076,0.040223872831170716,1.087862157670962,,,,,,,,
22,26,319.02,273.2815152031225,0.04051334522102191,1.0831321678672319,,,,,,,,
23,27,331.28999999999996,291.0536478143847,0.043466160866036246,1.0788389094516657,,,,,,,,
24,28,343.56,295.82898460756803,0.03949721158973838,1.0749453790738015,,,,,,,,
25,29,355.83,300.5869781068194,0.03895393098563741,1.071237357080622,,,,,,,,
26,30,368.09999999999997,324.0526620963871,0.03922887372826321,1.0677276889553367,,,,,,,,
27,31,380.37,330.6080350693722,0.03821629710824948,1.0647049153724866,,,,,,,,
28,32,392.64,354.11482942552027,0.04330583755825061,1.0618024684534788,,,,,,,,
29,33,404.90999999999997,343.3845384145852,0.034618365966967976,1.060036079902132,,,,,,,,
30,34,417.18,361.22465541450396,0.035067798013213206,1.0575136394321047,,,,,,,,
31,35,429.45,362.1109367011479,0.033590730713005695,1.0549253316678104,,,,,,,,
32,36,441.71999999999997,383.7093023367558,0.026759883393065585,1.0528803902841959,,,,,,,,
33,37,453.99,394.0880374148247,0.03426394684323104,1.0505266861582392,,,,,,,,
34,38,466.26,408.17232942128027,0.03032786240608714,1.0485767141707818,,,,,,,,
35,39,478.53,416.59182616198785,0.032870404108610266,1.0465879852152102,,,,,,,,
36,40,490.79999999999995,434.50301389887653,0.028219221043164974,1.0448719237322968,,,,,,,,
37,41,503.07,452.4426621883545,0.029286815137052873,1.0432261133754528,,,,,,,,
38,42,515.34,455.1573882093457,0.03345306798234058,1.0413980136954029,,,,,,,,
39,43,527.61,449.7962496889336,0.02796855250338671,1.0404711029130536,,,,,,,,
40,44,539.88,483.11251760069774,0.026519904742981427,1.0390954109264317,,,,,,,,
41,45,552.15,479.97406105837604,0.025737826552464108,1.037556068971468,,,,,,,,
42,46,564.42,497.94052395841237,0.025542079168642637,1.0362683396362733,,,,,,,,
43,47,576.6899999999999,516.0324144570009,0.027956092742079892,1.0348187149481796,,,,,,,,
44,48,588.96,520.5226200466495,0.023887135313408803,1.0335766002864277,,,,,,,,
45,49,601.23,548.1804454337168,0.020739234934967526,1.0325067315237493,,,,,,,,
46,50,613.5,531.3926616512748,0.016852761101819377,1.0312524796581095,,,,,,,,
47,51,625.77,563.002812598081,0.01726876531765786,1.0301902353266803,,,,,,,,
48,52,638.04,575.263849109188,0.0210281121789134,1.0290929995283529,,,,,,,,
49,53,650.31,591.3722970339602,0.018469845420941124,1.0281171489591858,,,,,,,,
50,54,662.5799999999999,611.1633514604516,0.015928936341337414,1.0275485244645561,,,,,,,,
